expert_id,expert,112.ua,24 канал,Gazeta.ua,LB.ua,LIGA.net,Obozrevatel,Politeka,ZIK,ZN.UA,Zaxid.net,Znaj.ua,Інтерфакс-Україна,Апостроф,Бабель,Букви,Вголос,Вести,Главком,ГолосUA,Гордон,Громадське,Економічна правда,Еспресо ТВ,КП в Украине,Корреспондент.net,НВ,РБК-Україна,Радіо Свобода,Страна.ua,Суспільне,Сьогодні,ТСН,Телеграф,УНІАН,УНН,Українська правда,Українські новини,Укрінформ,Факти,Факти ICTV,Фокус,Цензор.НЕТ
293,Андрій Золотарьов,0,0,1,0,0,4,5,0,1,0,2,0,4,0,0,0,4,0,14,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,4,0,0,0,0,0,0,0
534,Кость Бондаренко,0,0,0,0,0,0,17,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
230,Володимир Фесенко,1,11,0,0,0,1,0,1,0,0,0,0,5,0,0,0,4,1,6,0,0,0,0,1,0,0,0,0,0,0,3,1,0,1,2,0,0,1,0,1,0,1
464,Тарас Загородній,0,0,0,0,0,2,12,0,0,0,18,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Руслан Бізяєв,0,0,0,0,0,0,7,0,0,0,6,0,1,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1355,Володимир Литвин,0,4,0,1,2,1,0,0,1,1,0,0,0,0,0,0,3,3,1,3,0,0,0,0,0,1,0,1,6,0,1,0,1,2,0,1,1,0,0,1,0,1
454,Ігор Головань,0,1,1,3,1,4,0,0,1,0,0,3,0,1,2,0,0,3,0,1,0,0,3,1,0,2,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,3
325,Олеся Бацман,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Борис Кушнірук,0,0,1,0,0,5,6,0,0,0,7,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0
777,Олександр Данилюк,2,1,3,0,0,0,0,0,2,1,0,0,2,0,0,0,2,0,1,1,0,2,1,2,0,2,0,0,0,0,1,0,2,2,1,0,0,0,0,1,1,3
587,Сергій Філімонов,0,1,0,0,0,3,0,0,0,0,0,0,0,1,1,0,1,0,0,10,3,0,0,1,0,1,0,0,4,0,1,0,2,0,0,0,0,0,0,0,1,3
395,Христо Грозєв,0,2,0,1,2,0,1,0,1,0,0,0,2,1,2,0,1,2,0,4,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,4
458,Кирило Сазонов,0,1,2,0,0,5,3,0,0,0,3,0,0,0,0,0,0,4,1,0,0,0,1,3,0,0,0,0,0,0,1,0,1,0,1,0,1,0,2,0,1,1
550,Дмитро Снєгирьов,0,0,0,0,0,0,15,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
424,Андрій Богдан,1,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,1,1,0,14,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
390,Ростислав Кравець,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,4,0,1,0,0,0,0,0
249,Олексій Якубін,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
790,Роман Маселко,0,5,3,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,3,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,3
762,Микола Томенко,0,0,0,0,0,0,15,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
163,Тимофій Милованов,0,3,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,2,0,1,0,0,2,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,2
