topic;Українська правда;Страна.ua;РБК-Україна;Obozrevatel;24 канал;Цензор.НЕТ;ТСН;Гордон;Politeka;УНІАН;Znaj.ua;LIGA.net;112.ua;Сьогодні;Апостроф;УНН;Українські новини;Економічна правда;Еспресо ТВ;Радіо Свобода;Факти ICTV;LB.ua;Громадське;ZIK;ZN.UA;Фокус;Інтерфакс-Україна;Корреспондент.net;Главком;Вголос;НВ;Суспільне;Zaxid.net;Бабель;Gazeta.ua;Укрінформ;ГолосUA;Букви;КП в Украине;Факти;Телеграф;Вести
Перекриття Суецького каналу;1.7;8.0;2.4;2.2;1.7;0.6;2.9;2.3;0.0;1.8;0.4;4.9;3.9;3.3;2.9;3.5;2.2;8.3;2.0;2.8;3.8;4.0;3.3;3.4;3.6;5.4;16.4;3.3;2.1;0.0;3.0;2.4;5.5;2.9;2.4;2.7;2.1;2.3;4.3;3.0;5.0;4.1
Новини про Білорусь: акції, затримання, суди і т.і.;4.7;0.9;2.6;0.9;1.3;1.9;5.4;6.4;6.1;2.8;0.0;3.6;0.4;1.4;1.4;2.0;4.4;75.0;1.5;0.0;6.9;9.0;0.7;6.2;1.3;0.4;4.7;0.9;0.9;15.0;2.3;0.9;32.7;2.9;0.0;2.3;5.8;7.4;0.0;0.6;1.3;0.6
Протести у М'янмі;4.3;0.9;4.3;0.9;1.6;0.0;2.9;3.8;0.0;1.8;0.0;2.2;5.3;1.9;0.9;7.5;0.0;0.0;4.4;7.9;2.3;4.5;4.6;0.0;3.1;0.8;0.8;3.1;2.3;3.7;5.7;2.4;0.0;4.1;2.0;5.5;0.3;0.8;0.0;0.0;1.3;2.5
Інтерв'ю Меган Маркл і принца Гаррі;0.9;0.0;0.0;19.3;6.9;0.0;1.8;6.8;15.6;4.7;4.1;1.3;5.3;13.2;4.9;2.8;0.0;0.0;3.4;1.9;10.8;3.5;3.9;3.4;3.6;0.0;0.8;2.2;6.7;0.9;0.0;1.8;0.0;2.5;1.9;2.1;0.0;12.0;0.0;0.0;0.0;0.0
