topic;Українська правда;Страна.ua;РБК-Україна;Obozrevatel;24 канал;Цензор.НЕТ;ТСН;Гордон;Politeka;УНІАН;Znaj.ua;LIGA.net;112.ua;Сьогодні;Апостроф;УНН;Українські новини;Економічна правда;Еспресо ТВ;Радіо Свобода;Факти ICTV;LB.ua;Громадське;ZIK;ZN.UA;Фокус;Інтерфакс-Україна;Корреспондент.net;Главком;Вголос;НВ;Суспільне;Zaxid.net;Бабель;Gazeta.ua;Укрінформ;ГолосUA;Букви;КП в Украине;Факти;Телеграф;Вести
Акція на підтримку Стерненка;5.6;5.5;4.6;3.2;3.2;5.3;1.6;6.0;0.0;5.4;0.1;6.2;4.6;4.1;1.8;4.8;5.6;0.0;6.1;8.9;3.1;5.8;7.0;5.1;6.7;5.2;5.4;1.6;2.9;0.9;8.9;0.9;2.7;8.2;1.8;5.5;1.0;23.5;4.0;2.4;2.8;6.3
Справи Стерненка і акції до 20 березня;2.6;1.2;0.3;0.6;2.9;2.0;1.4;3.2;0.0;2.2;0.0;2.2;0.5;0.4;0.3;1.3;2.8;0.0;2.8;6.1;0.3;1.5;0.0;0.5;2.6;0.9;2.0;0.3;1.0;0.3;4.9;0.5;1.1;5.1;1.1;1.9;0.1;3.6;2.0;0.8;0.7;2.4
Справа Шеремета-Антоненка;1.1;1.2;1.4;0.6;1.1;1.9;0.0;0.7;0.0;1.0;0.0;0.4;0.0;0.5;0.5;0.6;0.7;0.0;1.8;3.7;0.9;1.5;2.2;0.9;3.6;0.9;2.4;0.7;0.5;0.0;2.5;0.2;0.8;3.8;0.6;1.9;0.1;5.4;1.3;2.0;0.2;1.5
ДТП з українцями у Польщі;3.0;1.1;5.2;2.5;3.7;3.3;3.8;3.7;0.5;1.8;1.0;2.2;4.3;3.6;2.4;3.0;2.5;0.0;3.1;3.7;6.9;2.2;3.2;3.2;5.6;0.9;4.4;1.5;2.3;5.3;5.9;0.7;1.9;0.6;3.2;3.1;1.4;2.4;3.3;0.4;1.2;2.2
Потенційна заборона партії Шарія;0.7;0.3;1.4;0.3;1.2;0.6;0.0;1.1;0.0;0.6;0.0;1.3;2.2;0.4;0.5;0.7;1.8;0.0;0.6;1.9;0.9;1.1;1.6;0.5;1.5;1.7;1.4;0.5;0.7;0.9;1.5;0.0;0.5;1.9;0.2;1.0;0.2;1.8;0.0;0.0;0.2;1.7
