topic;Українська правда;Страна.ua;РБК-Україна;Obozrevatel;24 канал;Цензор.НЕТ;ТСН;Гордон;Politeka;УНІАН;Znaj.ua;LIGA.net;112.ua;Сьогодні;Апостроф;УНН;Українські новини;Економічна правда;Еспресо ТВ;Радіо Свобода;Факти ICTV;LB.ua;Громадське;ZIK;ZN.UA;Фокус;Інтерфакс-Україна;Корреспондент.net;Главком;Вголос;НВ;Суспільне;Zaxid.net;Бабель;Gazeta.ua;Укрінформ;ГолосUA;Букви;КП в Украине;Факти;Телеграф;Вести
Тема Криму;5.7;1.6;4.1;5.5;5.2;3.7;6.7;5.8;1.5;4.8;0.4;2.3;1.8;3.2;3.7;4.0;0.8;0.0;4.5;14.4;4.4;3.3;3.3;2.1;3.9;3.2;2.7;4.7;2.6;2.8;1.9;1.6;2.5;3.3;4.5;5.9;0.4;1.6;3.2;4.1;4.4;2.1
Санкції проти Медведчука;3.2;2.1;2.1;1.9;4.2;1.7;2.6;4.7;1.2;6.6;0.4;2.9;15.1;1.2;2.0;0.7;1.6;1.0;2.5;3.8;0.7;1.9;3.3;21.1;4.2;4.3;1.9;0.5;3.1;1.4;7.7;1.3;2.5;3.0;3.4;1.7;6.5;1.6;2.5;2.1;5.1;4.0
Акція за Стерненка ;3.7;4.0;1.2;2.5;3.7;3.8;5.2;4.0;0.0;2.5;0.6;5.5;3.0;4.5;2.2;3.0;3.3;0.0;3.4;2.2;4.0;3.5;7.8;0.7;3.5;4.3;2.0;3.3;3.2;1.4;3.3;1.7;2.5;5.0;6.1;1.4;2.4;4.8;2.5;2.6;3.7;3.8
Справа Вагнерівців;2.0;0.5;1.2;1.6;2.3;1.8;0.5;2.5;0.9;1.1;0.2;3.2;1.2;2.0;2.0;1.1;0.0;0.0;3.7;1.3;1.5;1.7;0.6;0.5;1.8;1.4;1.5;0.9;1.9;0.0;2.2;1.0;3.0;4.1;2.2;0.6;0.9;3.9;0.0;2.1;3.0;1.2
Засідання і робота РНБО (крім Медведчука);2.2;5.4;2.6;2.3;2.8;3.0;2.6;3.1;0.0;2.7;1.0;2.3;3.1;2.7;3.4;3.2;4.7;6.9;3.1;3.5;5.1;2.3;2.2;2.8;2.5;4.9;2.9;3.7;2.1;5.0;3.6;1.1;1.7;1.8;0.9;2.2;3.0;2.3;2.7;2.6;5.1;3.0
