expert_id;image_name;name;сфера;освіта;місце роботи;найбільше коментує
449;t_zhyravetskyi;Тарас Жиравецький;Медицина;Львівський медичний університет, Український католицький університет;Головний лікар медичного центру Біокурс;Коронавірус
1842;i_koliadzhyn;Іван Коляджин;Медицина;;генеральний директор КНП «Богородчанська центральна лікарня»;Коронавірус
913;y_ryzhenkov;Юрій Риженков;Бізнес;Донецький державний технічний університет (Міжнародна економіка), King’s College London (Управління бізнесом), London School of Business (MBA);Генеральний директор, Голова Правління ТОВ «Метінвест Холдинг»;Економіка
837;s_rodler;Сергій Родлер;Фінансова аналітика;;Аналітик TeleTrade;Економіка
1030;v_zemlianskyi;Валентин Землянський;Енергетика;Академія СБУ (Правознавство);Експерт Української енергетичної асоціації;Економіка
1017;a_starovoit;Анатолій Старовойт;Металургія;Національна металургійна академія України, доктор технічних наук;"завідувач кафедрою металургійного палива і відновників Національної металургійної академії України, генеральний директор УНПА ""Укркокс""";Економіка
980;s_zinchenko;Станіслав Зінченко;Промисловість;КНЕУ ім. Вадима Гетьмана, Universität Konstanz;директор GMK Center, голова комітету екології та сталого розвитку Європейської бізнес-асоціації;Економіка
576;y_korolchuk;Юрій Корольчук;Енергетика;ЛНУ ім. Івана Франка (філософський факультет);член наглядової ради Інституту енергетичних стратегій;Економіка
325;o_batsman;Олеся Бацман;Журналістика;Харківський національний університет імені В. Н. Каразіна (відділення журналістики);головна редакторка інтернет-видання «ГОРДОН»;Політика
105483;o_danyliuk;Олександр Данилюк;Політика;"НТУ «КПІ» (інженер-електрик), Київський інститут інвестиційного менеджменту, Університет Індіани (MBA)";Співзасновник Центру національної стійкості та розвитку, Секретар РНБО (2019), Міністр фінансів України (2016-2018);Політика
395;k_hroziev;Христо Грозєв;Журналістика;Американський університет у Болгарії, Imadec University (MBA);журналіст-розслідувач видання «Bellingcat»;Світ, Політика
424;a_bohdan;Андрій Богдан;Політика;ЛНУ ім. Івана Франка (право, економіка), кандидат юридичних наук;Колишній Керівник Офісу Президента України;Політика
550;d_sniehyrov;Дмитро Снєгирьов;Громадський сектор;СНУ ім. В. Даля;співголова ГІ «Права справа»;Політика, Війна/Армія
1827;b_hodzhes;Бен Годжес;Військова справа;Військова академія США;Колишній командувач американської армії в Європі;Війна/Армія, Закордонна політика
105480;y_balan;Юліан Балан;Юриспруденція;;Адвокат судді Чауса;Політика, Інциденти
390;r_kravets;Ростислав Кравець;Юриспруденція;КНУ ім. Шевченка (геофізика), Національна академія внутрішніх справ України (правознавство);старший партнер адвокатської компанії «Кравець і партнери»;Політика, Інциденти
2524;d_frid;Деніел Фрід;Дипломатія;Корнелльський університет, Колумбійський університет;американський дипломат, колишній координатор санкційної політики Держдепартаменту США;Закордонна політика, Політика
504;o_popenko;Олег Попенко;Громадський сектор;Полтавський національний педагогічний університет імені В. Г. Короленка (історія), Кременчуцький національний університет імені Михайла Остроградського (економіка);Голова Спілки споживачів комунальних послуг , голова Комітету з питань ЖКГ Громадської ради при КМДА;Економіка
391;m_naiiem;Масі Найєм;Юриспруденція;Міжнародний Соломонів університет (юридичний факультет);Адвокат, правозахисник, засновник юридичної компанії «Міллер»;Інциденти
2142;m_tkach;Михайло Ткач;Журналістика;Дніпровський національний університет;журналіст-розслідувач, кореспондент програми «Схеми»;Інциденти, Політика
704;v_kurpita;Володимир Курпіта;Медицина;Нижньогородський медичний університет, кандидат медичних наук;Інфекціоніст, ексочільник Центру громадського здоров’я, викладач школи охорони здоров'я НАУКМА;Коронавірус
511;o_koshel;Олексій Кошель;Громадський сектор;Кам'янець-Подільський національний університет імені Івана Огієнка (історичний факультет), кандидат історичних наук;генеральний директор Комітету виборців України;Політика
763;y_dudkin;Юрій Дудкін;Військова справа;КВВМПУ, Академія керівних кадрів культури і мистецтв Мінкультури і мистецтв України;“Військово-політичний експерт”, обвинувачений у державній зраді;Політика
538;d_marunych;Дмитро Марунич;Енергетика;КНУ ім. Шевченка;співголова Фонду енергетичних стратегій;Економіка, Політика
1862;o_vershbou;Олександр Вершбоу;Дипломатія;Єльський коледж (бакалавр з проблем Росії та Східної Європи), Колумбійський університет (магістр міжнародних відносин);Американський дипломат, експосол США в Росії, колишній заступник генерального секретаря НАТО;Закордонна політика
753;o_zhdanov;Олег Жданов;Військова справа;;полковник запасу Збройних сил України, військовий експерт;Закордонна політика
1907;v_nevmerzhytskyi;Василь Невмержицький;Фінансова аналітика;;Радник голови правління Кредитвест банку;Економіка
497;a_hoilov;Андрій Гойлов;Фінансова аналітика;Вища економічна;аналітик RoboForex;Економіка
558;v_stepaniuk;Всеволод Степанюк;Економічна аналітика;КНУ ім. Шевченка (економічна кібернетика);;Економіка
205;v_hroisman;Володимир Гройсман;Політика;Вінницький інститут регіональної економіки та управління, Міжрегіональна академія управління персоналом (Юриспруденція);Колишній Прем'єр-міністр України, Голова Політичної Партії «Українська Стратегія Гройсмана»;Політика, Економіка
605;v_portnykov;Віталій Портников;Журналістика;Московський державний університет ім. Ломоносова (факультет журналістики);публіцист, письменник, журналіст, оглядач Радіо «Свобода»;Політика, Закордонна політика
384;y_lutsenko;Юрій Луценко;Політика;Національний університет «Львівська політехніка» (інженер електронної техніки);Колишній Генеральний прокурор України, ведучий програми «Прямим текстом» на 5 каналі;Політика
249;o_yakubin;Олексій Якубін;Політологія;КНУ ім. Шевченка (філософський факультет), кандидат політичних наук;Викладач на факультеті Соціології і права НТУ «КПІ», політолог;Політика
619;n_moseichuk;Наталія Мосейчук;Журналістика;Житомирський державний університет імені Івана Франка (факультет іноземних мов);Ведуча на телеканалі 1+1;Політика
328;k_kotenkova;Катерина Котенкова;Журналістика;;Ведуча на каналі Znaj ;Економіка
290;o_liashko;Олег Ляшко;Політика;Харківський національний педагогічний університет ім. Сковороди (юриcпруденція), КНУ ім. Шевченка (міжнародний бізнес);Лідер Радикальної партії Олега Ляшка;Політика, Економіка
420;i_mosiichuk;Ігор Мосійчук;Політика;Львівський університет бізнесу та права (магістр видавничої справи);Ексдепутат, журналіст;Інциденти, Політика
454;i_holovan;Ігор Головань;Юриспруденція;Донецький державний університет (Правознавство), кандидат юридичних наук;Керуючий партнер в адвокатському об’єднанні “Головань і Партнери”;Політика
564;y_romanenko;Юрій Романенко;Політтехнології;Харківський національний університет ім. Каразіна (історичний факультет);Співзасновник аналітичного центру “Український інститут майбутнього”, шеф-редактор порталу “Хвиля”;Політика
478;v_karasov;Вадим Карасьов;Політтехнології;Харківський національний університет ім. Каразіна  (політична економія);директор Інституту глобальних стратегій;Політика
2100;v_husak;Володимир Гусак;Громадський сектор;КНУ ім. Шевченка, Texas A & M University (США), магістр економіки, кандидат технічних наук;генеральний директор Федерації роботодавців транспорту України;Економіка
