image_name;name;Obozrevatel:позитивні;Obozrevatel:нейтральні;Obozrevatel:негативні;РБК-Україна:позитивні;РБК-Україна:нейтральні;РБК-Україна:негативні;Українська правда:позитивні;Українська правда:нейтральні;Українська правда:негативні;Економічна правда:позитивні;Економічна правда:нейтральні;Економічна правда:негативні;Страна.ua:позитивні;Страна.ua:нейтральні;Страна.ua:негативні;LIGA.net:позитивні;LIGA.net:нейтральні;LIGA.net:негативні;ZIK:позитивні;ZIK:нейтральні;ZIK:негативні;УНН:позитивні;УНН:нейтральні;УНН:негативні;Українські новини:позитивні;Українські новини:нейтральні;Українські новини:негативні;Politeka:позитивні;Politeka:нейтральні;Politeka:негативні;Інтерфакс-Україна:позитивні;Інтерфакс-Україна:нейтральні;Інтерфакс-Україна:негативні;УНІАН:позитивні;УНІАН:нейтральні;УНІАН:негативні;Гордон:позитивні;Гордон:нейтральні;Гордон:негативні;LB.ua:позитивні;LB.ua:нейтральні;LB.ua:негативні;Сьогодні:позитивні;Сьогодні:нейтральні;Сьогодні:негативні;Радіо Свобода:позитивні;Радіо Свобода:нейтральні;Радіо Свобода:негативні;ZN.UA:позитивні;ZN.UA:нейтральні;ZN.UA:негативні;Апостроф:позитивні;Апостроф:нейтральні;Апостроф:негативні;Фокус:позитивні;Фокус:нейтральні;Фокус:негативні;Znaj.ua:позитивні;Znaj.ua:нейтральні;Znaj.ua:негативні;112.ua:позитивні;112.ua:нейтральні;112.ua:негативні;Громадське:позитивні;Громадське:нейтральні;Громадське:негативні;Еспресо ТВ:позитивні;Еспресо ТВ:нейтральні;Еспресо ТВ:негативні;Zaxid.net:позитивні;Zaxid.net:нейтральні;Zaxid.net:негативні;Вести:позитивні;Вести:нейтральні;Вести:негативні;Gazeta.ua:позитивні;Gazeta.ua:нейтральні;Gazeta.ua:негативні;Главком:позитивні;Главком:нейтральні;Главком:негативні;Корреспондент.net:позитивні;Корреспондент.net:нейтральні;Корреспондент.net:негативні;Вголос:позитивні;Вголос:нейтральні;Вголос:негативні;Суспільне:позитивні;Суспільне:нейтральні;Суспільне:негативні;ГолосUA:позитивні;ГолосUA:нейтральні;ГолосUA:негативні;Укрінформ:позитивні;Укрінформ:нейтральні;Укрінформ:негативні;Телеграф:позитивні;Телеграф:нейтральні;Телеграф:негативні;КП в Украине:позитивні;КП в Украине:нейтральні;КП в Украине:негативні;Факти:позитивні;Факти:нейтральні;Факти:негативні;ТСН:позитивні;ТСН:нейтральні;ТСН:негативні;НВ:позитивні;НВ:нейтральні;НВ:негативні;Факти ICTV:позитивні;Факти ICTV:нейтральні;Факти ICTV:негативні;Букви:позитивні;Букви:нейтральні;Букви:негативні;24 канал:позитивні;24 канал:нейтральні;24 канал:негативні;Бабель:позитивні;Бабель:нейтральні;Бабель:негативні;Цензор.НЕТ:позитивні;Цензор.НЕТ:нейтральні;Цензор.НЕТ:негативні
v_medvedchuk;Віктор Медведчук;0;1;17;0;2;25;0;6;13;0;0;0;0;0;13;0;1;17;0;0;4;0;1;10;0;1;2;0;0;1;0;1;20;0;2;41;0;0;29;0;1;7;0;1;14;0;1;8;0;0;15;1;5;17;1;1;2;0;0;1;0;0;8;0;1;6;0;2;8;0;0;8;0;0;4;1;1;10;0;1;20;0;1;10;0;2;11;0;0;9;0;0;4;0;1;27;1;3;5;0;0;6;0;1;6;0;3;30;0;0;3;0;0;7;0;0;15;0;2;12;0;2;11;0;2;7
v_klychko;Віталій Кличко;0;1;5;0;1;6;0;1;6;0;0;1;0;0;2;0;2;7;0;1;3;0;1;7;0;0;7;0;0;0;0;0;9;0;0;6;0;0;9;0;0;5;0;3;10;0;0;6;0;0;5;0;2;2;0;0;2;0;1;2;0;2;8;0;0;5;0;0;3;0;0;1;1;1;2;0;3;6;0;0;32;0;3;4;0;1;0;0;0;4;0;1;1;0;1;4;0;1;1;0;0;1;0;1;1;0;1;12;1;0;1;0;1;3;0;0;3;0;1;23;0;0;4;0;0;4
t_kozak;Тарас Козак;0;0;4;0;1;10;0;2;5;0;0;0;0;0;1;0;1;15;0;0;0;0;0;9;0;0;1;0;0;0;0;1;8;0;0;23;0;0;13;0;0;3;0;0;5;0;0;5;0;0;11;0;1;3;1;0;1;0;0;0;0;0;0;0;0;6;0;0;3;0;0;5;0;0;0;1;0;2;0;0;6;0;0;4;0;1;1;0;0;3;0;0;0;0;0;6;0;0;0;0;0;1;0;0;3;0;0;9;0;0;2;0;0;4;0;0;12;0;0;4;0;0;3;0;1;0
v_zelenskyi;Володимир Зеленський;2;1;2;1;0;2;0;0;0;0;0;0;1;0;8;0;0;6;0;0;2;0;0;6;0;0;6;0;0;0;0;0;4;0;2;2;0;0;4;0;0;1;0;0;5;0;1;3;0;1;8;1;0;1;0;0;4;0;0;0;0;0;3;0;0;3;0;0;1;0;0;0;1;0;2;0;0;2;2;0;19;0;0;3;0;0;0;0;0;1;0;1;1;1;0;5;0;0;0;0;0;4;0;0;1;0;0;4;1;0;11;0;0;2;1;0;5;1;1;9;0;1;0;1;1;6
i_venediktova;Ірина Венедіктова;0;0;3;0;0;3;0;0;3;0;0;0;0;0;0;0;0;1;0;0;2;0;0;3;0;0;1;0;0;0;0;0;4;0;1;8;0;0;25;0;0;0;0;0;5;0;0;5;0;0;2;0;0;3;0;0;0;0;0;0;0;0;4;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;5;0;0;2;0;0;0;0;0;1;0;0;2;0;0;6;0;0;1;0;0;1;0;0;2;0;0;2;0;0;0;0;0;3;0;0;14;0;0;4;0;1;0;0;0;1
a_herashchenko;Антон Геращенко;0;0;6;0;0;1;0;0;0;0;0;0;1;0;6;0;0;1;0;0;0;0;0;5;0;2;1;0;0;1;0;0;1;0;0;3;0;0;3;0;0;3;0;0;2;0;0;0;0;0;1;0;0;0;2;0;3;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;5;0;0;2;0;0;1;0;0;0;0;0;1;0;0;4;0;0;2;1;0;4;1;0;2;0;0;0;0;0;6;0;1;5;0;0;3;0;0;0;0;0;6;0;0;0;1;0;10
a_avakov;Арсен Аваков;0;0;1;0;0;1;0;0;2;0;0;0;0;0;4;0;0;3;0;0;1;0;0;3;0;0;2;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;1;0;0;6;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;2;0;0;2;0;0;4;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;3;0;0;5;0;0;0;1;0;6
p_poroshenko;Петро Порошенко;0;0;0;0;0;0;0;0;1;0;0;0;0;0;11;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;9;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;3;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;0;0;0;0;0;1;0;0;0;0;0;1;0;0;5
i_bakanov;Іван Баканов;0;0;1;0;1;1;0;0;2;0;0;0;0;0;0;0;0;3;0;0;1;0;0;6;0;0;1;0;0;0;0;0;1;0;0;2;0;0;1;0;0;0;0;0;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;7;0;0;0;0;0;0;0;0;2
l_denisova;Людмила Денісова;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;1;0;0;1;3;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;2;0;0;0;0;1;1;0;0;0;0;0;0
