topic;112.ua;24 канал;Gazeta.ua;LB.ua;LIGA.net;Obozrevatel;Politeka;ZIK;ZN.UA;Zaxid.net;Znaj.ua;Інтерфакс-Україна;Апостроф;Бабель;Букви;Вголос;Вести;Главком;ГолосUA;Гордон;Громадське;Економічна правда;Еспресо ТВ;КП в Украине;Корреспондент.net;НВ;РБК-Україна;Радіо Свобода;Страна.ua;Суспільне;Сьогодні;ТСН;Телеграф;УНІАН;УНН;Українська правда;Українські новини;Укрінформ;Факти;Факти ICTV;Фокус;Цензор.НЕТ
Посадка літака Ryanair й затримання Романа Протасевича;8.7;9.0;5.9;10.6;5.8;10.7;2.6;5.2;24.6;12.3;2.5;15.0;4.2;14.1;5.7;1.1;1.5;7.1;0.3;31.6;5.9;2.5;11.6;6.9;3.7;8.9;9.8;13.0;5.9;6.6;16.2;5.5;3.2;8.6;7.8;10.5;5.6;11.8;6.8;15.6;6.9;18.4
Загострення в Ізраїльсько-Палестинському конфлікті;9.7;2.7;5.6;10.1;9.7;5.8;3.3;9.9;6.6;0.0;1.4;17.8;6.8;3.0;1.3;9.2;7.0;3.5;4.5;3.8;1.6;0.0;5.0;6.2;7.4;11.4;11.2;3.7;5.7;2.6;5.5;4.6;4.8;1.3;7.9;6.2;7.2;7.2;1.4;4.6;6.6;4.9
Стрілянина у школі в Казані;2.7;2.5;1.0;0.4;0.0;2.0;3.9;4.2;2.4;0.0;0.0;1.1;4.4;0.0;0.0;0.0;2.3;1.7;3.6;3.0;0.7;0.0;1.2;5.5;3.3;0.9;1.4;1.9;6.7;0.7;1.2;2.6;7.4;3.2;1.3;0.0;0.8;0.1;1.1;1.4;3.8;1.0
Прининення авісполучення з Білоруссю після посадки літака Ryanair;1.0;2.0;1.8;3.1;1.5;2.0;0.7;3.6;3.1;4.7;0.0;6.7;2.3;4.0;1.6;0.0;0.0;1.5;0.0;0.5;1.3;15.0;1.2;0.0;2.5;0.0;4.4;1.1;0.0;3.0;3.5;1.6;0.0;1.8;2.3;3.1;0.0;1.8;2.2;4.6;0.0;0.0
Хакерська атака на трубопровід Colonial Pipeline;1.0;0.1;0.8;1.3;1.2;0.9;0.0;1.0;2.4;1.9;0.0;2.2;0.2;3.4;1.6;1.1;1.5;0.6;0.0;0.7;1.3;7.5;2.1;1.4;1.2;0.7;1.6;0.7;1.0;0.2;0.9;0.5;0.3;0.5;0.6;1.1;0.0;1.2;0.0;0.9;1.7;0.5
Збиття Іраном літака МАУ: канадський суд визнав катастрофу терактом;2.0;0.5;0.6;0.9;1.9;0.7;0.0;0.5;1.4;3.8;0.0;0.0;0.2;1.0;0.3;1.1;1.5;1.0;0.6;0.4;1.0;0.0;1.2;0.7;0.6;0.4;0.7;2.6;0.8;0.5;0.6;0.3;0.6;0.3;0.4;0.6;0.8;0.5;0.7;0.9;0.0;2.9
