image_name;name;Obozrevatel:позитивні;Obozrevatel:нейтральні;Obozrevatel:негативні;РБК-Україна:позитивні;РБК-Україна:нейтральні;РБК-Україна:негативні;Українська правда:позитивні;Українська правда:нейтральні;Українська правда:негативні;Економічна правда:позитивні;Економічна правда:нейтральні;Економічна правда:негативні;Страна.ua:позитивні;Страна.ua:нейтральні;Страна.ua:негативні;LIGA.net:позитивні;LIGA.net:нейтральні;LIGA.net:негативні;ZIK:позитивні;ZIK:нейтральні;ZIK:негативні;УНН:позитивні;УНН:нейтральні;УНН:негативні;Українські новини:позитивні;Українські новини:нейтральні;Українські новини:негативні;Politeka:позитивні;Politeka:нейтральні;Politeka:негативні;Інтерфакс-Україна:позитивні;Інтерфакс-Україна:нейтральні;Інтерфакс-Україна:негативні;УНІАН:позитивні;УНІАН:нейтральні;УНІАН:негативні;Гордон:позитивні;Гордон:нейтральні;Гордон:негативні;LB.ua:позитивні;LB.ua:нейтральні;LB.ua:негативні;Сьогодні:позитивні;Сьогодні:нейтральні;Сьогодні:негативні;Радіо Свобода:позитивні;Радіо Свобода:нейтральні;Радіо Свобода:негативні;ZN.UA:позитивні;ZN.UA:нейтральні;ZN.UA:негативні;Апостроф:позитивні;Апостроф:нейтральні;Апостроф:негативні;Фокус:позитивні;Фокус:нейтральні;Фокус:негативні;Znaj.ua:позитивні;Znaj.ua:нейтральні;Znaj.ua:негативні;112.ua:позитивні;112.ua:нейтральні;112.ua:негативні;Громадське:позитивні;Громадське:нейтральні;Громадське:негативні;Еспресо ТВ:позитивні;Еспресо ТВ:нейтральні;Еспресо ТВ:негативні;Zaxid.net:позитивні;Zaxid.net:нейтральні;Zaxid.net:негативні;Вести:позитивні;Вести:нейтральні;Вести:негативні;Gazeta.ua:позитивні;Gazeta.ua:нейтральні;Gazeta.ua:негативні;Главком:позитивні;Главком:нейтральні;Главком:негативні;Корреспондент.net:позитивні;Корреспондент.net:нейтральні;Корреспондент.net:негативні;Вголос:позитивні;Вголос:нейтральні;Вголос:негативні;Суспільне:позитивні;Суспільне:нейтральні;Суспільне:негативні;ГолосUA:позитивні;ГолосUA:нейтральні;ГолосUA:негативні;Укрінформ:позитивні;Укрінформ:нейтральні;Укрінформ:негативні;Телеграф:позитивні;Телеграф:нейтральні;Телеграф:негативні;КП в Украине:позитивні;КП в Украине:нейтральні;КП в Украине:негативні;Факти:позитивні;Факти:нейтральні;Факти:негативні;ТСН:позитивні;ТСН:нейтральні;ТСН:негативні;НВ:позитивні;НВ:нейтральні;НВ:негативні;Факти ICTV:позитивні;Факти ICTV:нейтральні;Факти ICTV:негативні;Букви:позитивні;Букви:нейтральні;Букви:негативні;24 канал:позитивні;24 канал:нейтральні;24 канал:негативні;Бабель:позитивні;Бабель:нейтральні;Бабель:негативні;Цензор.НЕТ:позитивні;Цензор.НЕТ:нейтральні;Цензор.НЕТ:негативні
d_shmyhal;Денис Шмигаль;2;4;7;5;9;4;1;0;0;6;8;1;6;3;3;6;3;4;6;6;2;0;6;1;9;9;2;0;4;4;5;5;1;5;9;1;3;11;2;3;6;3;1;14;5;2;5;1;2;9;5;0;5;0;2;4;0;0;1;2;6;7;0;2;3;2;6;18;0;2;3;1;11;5;1;2;3;1;20;9;19;5;10;2;1;1;1;2;8;2;6;6;4;14;14;2;1;0;0;3;4;6;1;2;0;4;11;0;5;7;4;6;11;3;1;3;0;6;18;7;1;4;0;15;19;3
v_zelenskyi;Володимир Зеленський;4;5;17;0;6;4;1;1;0;2;6;3;0;4;1;1;5;3;0;4;4;1;3;2;2;4;4;1;2;14;3;1;5;5;6;9;3;8;7;0;1;4;1;5;13;0;5;0;4;3;3;3;3;3;0;2;0;2;4;15;1;3;3;0;2;1;1;3;0;1;1;2;1;1;1;0;3;1;5;6;13;2;2;5;0;0;0;2;2;0;2;1;5;3;5;4;3;1;0;3;2;4;0;3;1;0;3;2;8;0;7;2;3;0;0;1;1;4;7;5;0;3;0;0;2;4
a_koboliev;Андрій Коболєв;1;1;1;0;1;1;0;0;0;0;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;1;2;1;1;5;0;1;5;0;0;0;0;2;10;0;0;1;1;2;2;0;0;0;0;0;1;0;0;3;0;0;0;0;3;2;0;0;0;1;0;0;3;3;1;0;0;0;0;0;3;0;1;2;1;1;8;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3;1;5;0;0;0;0;0;1;1;2;1;0;0;1;0;0;3
y_vitrenko;Юрій Вітренко;1;0;3;1;0;1;0;0;0;0;0;3;0;0;1;0;1;2;0;0;0;0;2;0;0;1;1;0;1;1;0;4;4;0;1;2;0;2;11;0;1;2;0;1;1;0;0;0;1;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;1;0;1;2;1;0;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;1;3;7;1;1;0;0;0;0;2;3;6;0;0;0;0;0;1
v_klychko;Віталій Кличко;0;1;1;0;0;1;0;0;0;0;0;1;2;0;5;1;4;4;0;1;1;0;0;0;0;2;3;0;0;1;0;0;1;1;0;2;0;0;1;0;1;1;0;0;0;0;1;0;0;0;3;1;0;2;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;3;0;0;1;0;0;0;0;0;0;0;2;6;0;0;1;0;0;0;0;2;1;0;1;0;0;0;2;0;0;2;0;1;0;0;0;0;0;1;2;0;0;1;0;1;1
i_petrashko;Ігор Петрашко;0;0;0;0;1;1;0;0;0;1;1;2;0;0;0;2;1;1;0;0;0;0;3;1;1;1;0;0;0;0;0;2;2;1;1;0;0;0;1;0;1;0;0;1;2;0;2;0;1;0;0;0;1;0;2;0;1;0;0;0;0;0;0;0;1;0;0;1;2;0;1;1;0;1;0;1;0;0;0;1;0;1;2;0;0;0;0;0;1;0;0;0;1;2;0;0;0;0;0;0;0;1;0;0;0;0;2;1;1;0;4;1;1;1;0;1;0;0;2;3;0;0;0;0;0;0
v_kryklii;Владислав Криклій;0;0;0;1;0;0;0;0;0;1;2;2;0;0;0;0;1;0;0;1;0;1;3;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;0;0;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;2;2;1;0;0;0;0;0;0;0;0;0;0;1;0;3;0;3;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0
d_hetmantsev;Данило Гетманцев;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;2;0;1;1;0;0;0;0;0;1;0;1;2;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;0;2;1;1;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;1;1;0;0;0;0;4;2
v_medvedchuk;Віктор Медведчук;0;1;1;0;0;0;0;0;1;0;1;1;1;0;0;1;0;0;3;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;2;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;3;3;1;0;0;0;0;0;0;0;0;1;0;0;2;1;0;1
o_honcharenko;Олексій Гончаренко;0;1;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;6;0;0;0;0;0;1;0;0;2;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;0;1;0;1;5;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
