expert_id;image_name;name;112.ua;24 канал;Gazeta.ua;LB.ua;LIGA.net;Obozrevatel;Politeka;ZIK;ZN.UA;Zaxid.net;Znaj.ua;Інтерфакс-Україна;Апостроф;Бабель;Букви;Вголос;Вести;Главком;ГолосUA;Гордон;Громадське;Економічна правда;Еспресо ТВ;КП в Украине;Корреспондент.net;НВ;РБК-Україна;Радіо Свобода;Страна.ua;Суспільне;Сьогодні;ТСН;Телеграф;УНІАН;УНН;Українська правда;Українські новини;Укрінформ;Факти;Факти ICTV;Фокус;Цензор.НЕТ
43;y_butusov;Юрій Бутусов;1;11;7;3;3;9;3;0;6;1;3;5;0;1;2;0;3;6;4;9;2;1;2;5;3;9;0;2;1;1;2;2;5;1;0;1;2;4;2;0;3;15
134;o_pendzyn;Олег Пендзин;0;4;1;0;0;6;4;0;0;0;4;0;6;0;0;1;1;42;31;3;0;0;2;1;1;0;0;0;0;1;11;1;3;3;1;0;1;0;1;2;0;1
136;r_bortnyk;Руслан Бортник;0;0;0;0;0;0;30;0;0;0;32;0;0;0;0;0;19;0;22;0;0;0;0;3;0;0;0;0;5;0;2;0;2;0;0;0;0;0;0;0;0;0
564;y_romanenko;Юрій Романенко;0;3;0;0;0;0;46;0;0;0;51;0;1;0;0;0;2;0;2;2;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0
214;o_kushch;Олексій Кущ;0;0;3;0;0;2;21;0;0;0;20;0;2;0;0;0;1;4;1;1;0;0;0;13;0;0;0;0;2;0;4;2;7;1;0;0;0;0;0;1;4;1
166;r_biziaiev;Руслан Бізяєв;0;0;0;0;0;0;28;0;0;0;34;0;0;0;0;0;1;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
230;v_fesenko;Володимир Фесенко;0;11;5;0;0;0;0;0;1;0;0;0;10;0;0;0;7;3;10;2;0;0;0;4;2;4;6;0;0;0;7;3;4;3;1;0;0;2;0;2;1;1
111;d_hordon;Дмитро Гордон;2;1;1;0;0;3;0;1;1;1;0;0;1;0;3;0;5;1;2;19;1;0;0;3;0;7;0;1;5;0;8;2;5;4;0;0;0;0;0;0;4;3
163;t_mylovanov;Тимофій Милованов;0;9;1;1;0;2;0;0;0;0;0;4;0;0;2;0;3;10;1;5;0;2;0;3;1;6;0;0;1;1;3;3;0;2;0;0;4;6;0;4;2;6
373;r_riaboshapka;Руслан Рябошапка;0;23;3;0;0;0;0;0;0;0;0;0;3;0;4;1;3;11;0;9;0;0;5;2;0;1;0;5;1;0;0;0;2;0;0;1;1;0;0;0;0;6
554;s_kuiun;Сергій Куюн;2;7;1;0;1;5;2;0;3;0;2;0;2;0;0;0;5;3;4;0;0;0;1;3;0;1;1;1;6;0;9;0;2;0;1;0;12;1;2;1;1;1
124;b_kushniruk;Борис Кушнірук;0;2;1;0;0;13;15;0;0;0;11;0;2;0;0;0;0;8;0;2;0;0;1;0;0;0;5;0;0;0;6;1;0;1;0;0;2;0;0;0;0;4
189;a_shevchyshyn;Андрій Шевчишин;0;0;1;0;0;12;1;0;0;0;0;0;3;0;0;0;1;7;0;0;0;0;0;5;0;0;0;0;18;0;15;0;2;1;0;0;3;0;3;0;0;0
464;t_zahorodnii;Тарас Загородній;0;0;0;0;0;1;33;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
147;a_yatseniuk;Арсеній Яценюк;1;0;1;1;1;4;4;0;1;1;4;1;1;0;1;0;1;6;0;9;0;0;0;3;0;0;2;0;2;0;17;1;0;0;0;0;0;2;0;0;0;6
418;m_chaplyha;Михайло Чаплига;6;0;0;0;0;1;17;5;0;0;23;0;0;0;0;0;8;0;3;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
337;p_klimkin;Павло Клімкін;2;6;1;1;0;4;0;1;1;1;0;0;0;0;0;0;1;0;1;11;0;0;11;1;0;2;0;5;0;0;2;4;1;2;0;0;0;2;0;4;1;1
