expert_id;image_name;name;112.ua;24 канал;Gazeta.ua;LB.ua;LIGA.net;Obozrevatel;Politeka;ZIK;ZN.UA;Zaxid.net;Znaj.ua;Інтерфакс-Україна;Апостроф;Бабель;Букви;Вголос;Вести;Главком;ГолосUA;Гордон;Громадське;Економічна правда;Еспресо ТВ;КП в Украине;Корреспондент.net;НВ;РБК-Україна;Радіо Свобода;Страна.ua;Суспільне;Сьогодні;ТСН;Телеграф;УНІАН;УНН;Українська правда;Українські новини;Укрінформ;Факти;Факти ICTV;Фокус;Цензор.НЕТ
136;r_bortnyk;Руслан Бортник;0;0;0;0;0;0;8;0;0;0;7;0;0;0;0;0;5;0;6;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0
550;d_sniehyrov;Дмитро Снєгирьов;0;0;0;0;0;0;11;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
166;r_biziaiev;Руслан Бізяєв;0;0;0;0;0;0;12;0;0;0;9;0;0;0;0;0;1;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
337;p_klimkin;Павло Клімкін;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;7;0;0;5;0;0;2;0;1;0;0;1;1;1;1;0;0;0;1;0;1;1;1
564;y_romanenko;Юрій Романенко;0;0;0;0;0;0;11;0;0;0;12;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1016;a_piontkovskyi;Андрій Піонтковський;0;6;0;0;0;5;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
