topic;112.ua;24 канал;Gazeta.ua;LB.ua;LIGA.net;Obozrevatel;Politeka;ZIK;ZN.UA;Zaxid.net;Znaj.ua;Інтерфакс-Україна;Апостроф;Бабель;Букви;Вголос;Вести;Главком;ГолосUA;Гордон;Громадське;Економічна правда;Еспресо ТВ;КП в Украине;Корреспондент.net;НВ;РБК-Україна;Радіо Свобода;Страна.ua;Суспільне;Сьогодні;ТСН;Телеграф;УНІАН;УНН;Українська правда;Українські новини;Укрінформ;Факти;Факти ICTV;Фокус;Цензор.НЕТ
Обшуки в Кличка, КМДА і комунальних підприємствах столиці;6.2;3.6;2.2;9.0;6.4;2.0;0.0;2.0;10.3;0.6;0.0;10.1;1.2;12.2;5.5;0.3;2.5;6.0;0.3;5.6;5.7;30.0;8.0;1.9;6.3;0.9;6.7;4.7;1.8;1.0;4.7;2.2;1.6;3.0;3.4;10.1;3.7;7.2;1.9;3.6;4.9;3.6
Справа Віктора Медведчука;1.8;1.2;1.3;2.4;9.6;2.9;0.1;1.5;7.6;1.7;0.2;6.7;3.2;8.8;10.3;4.3;0.0;2.6;0.1;7.2;4.0;0.0;3.1;1.2;1.6;0.6;7.8;4.7;1.3;0.4;2.5;2.2;0.9;6.4;3.1;7.6;1.1;4.3;2.2;1.8;1.8;1.2
Справа Сергія Стерненка;1.2;1.3;1.0;2.4;1.6;0.7;0.0;2.6;3.3;1.1;0.0;0.6;0.6;4.1;3.4;1.0;2.0;2.4;0.2;1.9;3.4;0.0;2.5;2.2;0.3;3.7;1.7;6.7;4.0;0.7;1.6;1.0;1.6;1.5;2.7;0.7;4.4;2.1;1.6;0.8;1.3;2.0
Порушення на акціях до 9 травня;2.1;0.5;0.6;1.4;0.0;0.8;0.3;2.0;2.7;0.9;0.2;2.9;1.1;2.0;1.4;0.3;2.2;0.8;0.6;2.4;2.8;0.0;0.3;0.9;1.2;2.2;1.7;4.0;1.9;1.6;0.5;0.2;1.6;0.4;4.5;1.4;1.8;0.8;0.3;0.8;2.7;2.0
Антитерористичні навчання СБУ;0.6;1.3;0.5;1.4;3.2;0.5;0.3;0.5;2.7;0.9;0.4;0.9;0.9;0.7;2.1;0.7;2.5;1.5;0.1;1.3;0.6;3.3;1.8;0.9;1.6;1.2;2.0;2.0;1.4;1.4;0.7;0.6;0.5;1.0;0.3;2.5;3.0;2.1;0.6;1.0;1.8;1.5
Викрадення екссудді Чауса;0.6;1.2;0.2;0.7;1.1;0.3;0.0;0.5;0.0;0.6;0.0;0.9;0.5;3.4;4.8;0.0;2.0;0.8;0.2;2.7;2.3;0.0;1.5;0.9;0.7;4.3;0.9;5.3;1.9;0.2;0.5;0.3;0.5;0.3;1.0;2.2;1.1;1.0;0.3;0.5;1.3;2.4
"Затримання найвпливовіших ""злодіїв у законі""";0.6;0.7;0.8;1.4;3.2;0.8;0.0;1.5;1.6;0.6;0.0;0.9;0.3;1.4;0.0;0.3;1.2;0.7;0.2;0.5;1.1;0.0;1.5;3.7;0.7;2.5;2.0;1.3;1.8;0.3;0.4;0.3;0.5;0.4;0.7;1.8;1.5;1.4;0.9;0.5;1.3;1.7
Сьома річниця подій 2 травня в Одесі;1.2;0.3;0.2;0.7;0.5;0.2;0.1;1.5;0.0;0.3;0.0;2.0;0.2;0.7;0.0;0.0;1.0;0.8;0.2;0.8;0.6;0.0;0.3;0.9;0.9;1.2;0.3;2.0;0.8;0.3;0.5;0.3;0.5;0.3;0.7;0.7;1.8;0.2;0.0;0.5;0.0;0.9
