image_name;name;Obozrevatel:позитивні;Obozrevatel:нейтральні;Obozrevatel:негативні;РБК-Україна:позитивні;РБК-Україна:нейтральні;РБК-Україна:негативні;Українська правда:позитивні;Українська правда:нейтральні;Українська правда:негативні;Економічна правда:позитивні;Економічна правда:нейтральні;Економічна правда:негативні;Страна.ua:позитивні;Страна.ua:нейтральні;Страна.ua:негативні;LIGA.net:позитивні;LIGA.net:нейтральні;LIGA.net:негативні;ZIK:позитивні;ZIK:нейтральні;ZIK:негативні;УНН:позитивні;УНН:нейтральні;УНН:негативні;Українські новини:позитивні;Українські новини:нейтральні;Українські новини:негативні;Politeka:позитивні;Politeka:нейтральні;Politeka:негативні;Інтерфакс-Україна:позитивні;Інтерфакс-Україна:нейтральні;Інтерфакс-Україна:негативні;УНІАН:позитивні;УНІАН:нейтральні;УНІАН:негативні;Гордон:позитивні;Гордон:нейтральні;Гордон:негативні;LB.ua:позитивні;LB.ua:нейтральні;LB.ua:негативні;Сьогодні:позитивні;Сьогодні:нейтральні;Сьогодні:негативні;Радіо Свобода:позитивні;Радіо Свобода:нейтральні;Радіо Свобода:негативні;ZN.UA:позитивні;ZN.UA:нейтральні;ZN.UA:негативні;Апостроф:позитивні;Апостроф:нейтральні;Апостроф:негативні;Фокус:позитивні;Фокус:нейтральні;Фокус:негативні;Znaj.ua:позитивні;Znaj.ua:нейтральні;Znaj.ua:негативні;112.ua:позитивні;112.ua:нейтральні;112.ua:негативні;Громадське:позитивні;Громадське:нейтральні;Громадське:негативні;Еспресо ТВ:позитивні;Еспресо ТВ:нейтральні;Еспресо ТВ:негативні;Zaxid.net:позитивні;Zaxid.net:нейтральні;Zaxid.net:негативні;Вести:позитивні;Вести:нейтральні;Вести:негативні;Gazeta.ua:позитивні;Gazeta.ua:нейтральні;Gazeta.ua:негативні;Главком:позитивні;Главком:нейтральні;Главком:негативні;Корреспондент.net:позитивні;Корреспондент.net:нейтральні;Корреспондент.net:негативні;Вголос:позитивні;Вголос:нейтральні;Вголос:негативні;Суспільне:позитивні;Суспільне:нейтральні;Суспільне:негативні;ГолосUA:позитивні;ГолосUA:нейтральні;ГолосUA:негативні;Укрінформ:позитивні;Укрінформ:нейтральні;Укрінформ:негативні;Телеграф:позитивні;Телеграф:нейтральні;Телеграф:негативні;КП в Украине:позитивні;КП в Украине:нейтральні;КП в Украине:негативні;Факти:позитивні;Факти:нейтральні;Факти:негативні;ТСН:позитивні;ТСН:нейтральні;ТСН:негативні;НВ:позитивні;НВ:нейтральні;НВ:негативні;Факти ICTV:позитивні;Факти ICTV:нейтральні;Факти ICTV:негативні;Букви:позитивні;Букви:нейтральні;Букви:негативні;24 канал:позитивні;24 канал:нейтральні;24 канал:негативні;Бабель:позитивні;Бабель:нейтральні;Бабель:негативні;Цензор.НЕТ:позитивні;Цензор.НЕТ:нейтральні;Цензор.НЕТ:негативні
v_zelenskyi;Володимир Зеленський;3;8;11;10;12;11;3;6;5;0;0;1;13;15;11;4;11;15;2;4;3;13;17;7;11;2;10;0;3;3;13;4;2;20;9;12;7;8;44;8;6;8;10;9;12;1;4;9;6;6;12;1;7;10;4;3;3;1;1;2;7;7;4;2;3;5;5;11;3;2;4;4;23;18;16;4;5;10;21;25;26;8;10;10;1;4;4;2;1;6;8;15;7;17;12;5;14;11;9;7;3;6;0;5;5;12;12;17;16;11;31;6;8;6;5;1;7;12;16;23;4;6;3;25;13;20
d_kuleba;Дмитро Кулеба;1;3;5;5;13;7;7;6;5;1;0;0;6;9;6;5;8;6;3;0;2;3;10;7;9;8;1;0;0;0;7;6;4;12;6;6;2;5;25;5;6;4;0;2;4;2;3;4;4;8;7;1;1;4;3;3;0;0;0;0;1;2;0;0;2;4;4;3;3;1;1;1;18;11;3;0;2;2;11;3;11;9;6;6;0;1;2;1;5;1;6;5;4;7;12;7;2;3;3;7;4;7;0;1;4;2;4;10;11;8;19;5;5;3;0;2;4;8;13;15;1;4;1;25;14;20
a_yermak;Андрій Єрмак;0;0;1;1;1;0;0;1;1;0;0;0;1;1;1;2;4;2;0;0;0;1;1;0;0;1;1;0;0;0;1;1;0;1;0;1;0;2;8;0;1;2;1;0;0;0;0;0;2;1;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;3;1;2;0;0;1;3;2;1;1;1;0;0;0;0;0;0;1;2;1;0;1;1;0;0;3;2;1;0;0;0;0;0;1;1;3;1;6;2;0;1;0;0;0;2;0;2;0;0;2;0;2;3;1
y_yenin;Євгеній Єнін;0;1;2;1;1;5;0;1;1;0;1;0;0;0;0;0;1;1;0;0;1;0;2;2;0;0;0;0;0;0;0;1;2;1;2;1;0;0;0;1;1;1;0;1;1;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;2;1;0;0;1;1;3;1;0;0;1;1;0;0;0;0;1;0;1;2;0;2;2;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;1;0;0;2;1;0;4;0;0;1;0;0;0
d_shmyhal;Денис Шмигаль;0;0;0;1;1;2;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;2;0;0;1;1;0;0;2;0;1;0;0;1;2;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2;1;1;0;0;0;1;0;3;0;0;2;0;0;0;0;1;1;0;0;2;3;2;3;1;0;1;0;2;3;0;1;1;1;0;1;0;1;2;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1
v_medvedchuk;Віктор Медведчук;0;0;1;0;1;1;2;1;3;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;1;2;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;1;0;0;4;0;0;2;0;1;1;0;0;1;0;0;1;0;0;2;0;0;0;0;0;5;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;3;2;0;1;1;0;1;0
p_poroshenko;Петро Порошенко;0;0;6;0;1;3;0;0;1;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;0;0;0;0;1;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;2;0;0;0;0;0;5;0;0;0;0;0;0;0;0;4
o_danilov;Олексій Данілов;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;2;0;0;0;2;0;1;0;0;0;0;0;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;2;0;1;1;1;0;1;0;2;0;0;1;0;0;0;1;0;0;2;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;4;0;0;0;0;1;0;0;1;0;0;0;0;1;0;3
a_taran;Андрій Таран;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;1;0;0;1;0;0;1;0;2;2;0;1;0;0;1;0;0;0;2;0;0;0;2;3;2
o_stefanishyna;Ольга Стефанішина;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;3;1;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;1;2;1;0;0;0;0;0;0;0;0;0;0;2;2;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;2;0;0;0;0;1;0;0;0;0;0;1;0;0
