expert_id;image_name;name;112.ua;24 канал;Gazeta.ua;LB.ua;LIGA.net;Obozrevatel;Politeka;ZIK;ZN.UA;Zaxid.net;Znaj.ua;Інтерфакс-Україна;Апостроф;Бабель;Букви;Вголос;Вести;Главком;ГолосUA;Гордон;Громадське;Економічна правда;Еспресо ТВ;КП в Украине;Корреспондент.net;НВ;РБК-Україна;Радіо Свобода;Страна.ua;Суспільне;Сьогодні;ТСН;Телеграф;УНІАН;УНН;Українська правда;Українські новини;Укрінформ;Факти;Факти ICTV;Фокус;Цензор.НЕТ
136;r_bortnyk;Руслан Бортник;1;0;0;0;0;0;15;0;0;0;12;0;1;0;0;0;13;0;14;2;0;0;0;0;0;0;0;0;0;0;5;0;1;0;2;0;5;0;0;0;0;0
43;y_butusov;Юрій Бутусов;0;2;8;1;5;5;1;0;3;0;0;0;2;1;2;0;1;7;0;8;0;0;1;2;0;2;0;0;0;0;0;0;3;0;0;0;1;1;4;0;1;3
111;d_hordon;Дмитро Гордон;0;1;1;0;0;5;6;0;0;0;5;0;0;1;2;0;1;2;0;8;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;2;0;0;0;3;1
294;v_omelian;Володимир Омелян;0;0;0;0;0;7;9;0;0;0;11;0;0;0;1;0;0;4;0;1;0;0;2;0;0;0;3;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0
418;m_chaplyha;Михайло Чаплига;1;0;0;0;0;0;11;1;0;0;15;0;0;0;0;0;2;0;3;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
94;s_leshchenko;Сергій Лещенко;0;7;0;0;0;1;2;0;1;0;4;1;0;1;0;0;1;2;0;6;0;0;0;1;0;2;0;0;1;0;0;0;2;0;0;0;3;0;0;0;2;1
478;v_karasov;Вадим Карасьов;0;0;1;0;1;1;5;0;0;0;5;1;0;0;0;0;7;0;0;0;0;0;0;2;0;0;2;1;0;0;8;0;0;1;0;0;2;0;0;0;0;0
166;r_biziaiev;Руслан Бізяєв;0;0;0;0;0;0;11;0;0;0;14;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
777;o_danyliuk;Олександр Данилюк;2;1;2;0;1;1;0;1;0;1;0;4;0;0;0;1;2;2;0;3;0;1;1;1;1;3;2;0;0;0;3;0;0;0;0;1;0;0;1;0;0;2
511;o_koshel;Олексій Кошель;1;2;4;3;0;0;0;0;1;0;0;0;1;0;2;0;1;9;1;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1;1
147;a_yatseniuk;Арсеній Яценюк;0;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;2
534;k_bondarenko;Кость Бондаренко;0;0;0;0;0;0;14;0;0;0;15;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
763;y_dudkin;Юрій Дудкін;5;0;0;0;1;0;0;9;0;0;0;0;0;0;0;0;2;0;8;1;0;0;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
205;v_hroisman;Володимир Гройсман;0;0;0;0;0;6;2;0;0;0;2;4;0;0;0;0;0;2;0;2;0;0;1;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0;1;4;0;0
230;v_fesenko;Володимир Фесенко;0;3;1;0;0;0;0;1;0;0;0;0;2;0;0;0;3;1;2;0;0;0;0;1;0;1;1;0;0;1;9;1;0;0;0;0;0;0;0;1;0;0
605;v_portnykov;Віталій Портников;4;0;2;0;0;1;0;3;0;0;0;0;0;0;0;0;3;0;1;0;0;0;1;2;0;3;0;0;0;0;0;0;3;0;0;0;0;0;2;0;1;0
337;p_klimkin;Павло Клімкін;0;2;0;0;0;9;0;0;0;0;0;1;0;0;0;0;0;1;0;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;0;0;0
390;r_kravets;Ростислав Кравець;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;8;0;0;0;0;4;0;0;0;0;5;0;0;0;1;0;1;0;3;0;0;0;2;0
124;b_kushniruk;Борис Кушнірук;0;0;2;0;0;3;4;0;0;0;4;0;1;0;0;0;0;1;0;5;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
384;y_lutsenko;Юрій Луценко;1;1;0;0;1;1;0;1;0;1;0;1;0;0;2;0;4;3;0;2;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1
538;d_marunych;Дмитро Марунич;0;0;1;0;0;1;0;1;0;0;0;0;3;0;0;0;3;0;2;1;0;0;0;3;0;0;0;0;1;0;1;0;1;0;0;0;4;0;0;0;0;1
249;o_yakubin;Олексій Якубін;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;10;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
