expert_id;image_name;name;112.ua;24 канал;Gazeta.ua;LB.ua;LIGA.net;Obozrevatel;Politeka;ZIK;ZN.UA;Zaxid.net;Znaj.ua;Інтерфакс-Україна;Апостроф;Бабель;Букви;Вголос;Вести;Главком;ГолосUA;Гордон;Громадське;Економічна правда;Еспресо ТВ;КП в Украине;Корреспондент.net;НВ;РБК-Україна;Радіо Свобода;Страна.ua;Суспільне;Сьогодні;ТСН;Телеграф;УНІАН;УНН;Українська правда;Українські новини;Укрінформ;Факти;Факти ICTV;Фокус;Цензор.НЕТ
214;o_kushch;Олексій Кущ;1;0;3;0;0;2;28;0;0;0;24;0;0;0;0;0;4;1;2;0;0;0;0;16;0;0;0;0;1;0;7;0;2;0;0;0;4;0;0;0;1;0
215;o_ustenko;Олег Устенко;1;11;5;2;1;3;0;1;5;0;0;2;1;2;0;0;3;2;1;5;0;4;2;1;2;2;8;2;0;1;3;1;0;4;2;0;3;9;1;1;1;4
124;b_kushniruk;Борис Кушнірук;0;1;1;0;0;19;16;0;0;0;16;0;2;0;0;0;0;12;1;7;0;0;0;1;0;0;9;0;0;0;4;0;0;0;0;0;2;0;0;0;0;3
134;o_pendzyn;Олег Пендзин;1;3;1;0;0;4;1;0;0;0;3;0;4;0;0;1;5;11;16;0;0;0;2;1;0;0;1;0;1;3;14;0;0;0;2;0;0;0;0;0;1;1
189;a_shevchyshyn;Андрій Шевчишин;0;0;0;0;0;10;0;0;0;0;0;0;1;0;0;0;0;7;0;0;0;0;0;9;0;0;0;0;22;0;18;0;1;0;0;0;2;0;4;0;0;0
211;o_okhrimenko;Олександр Охріменко;0;0;1;0;0;1;7;0;0;0;7;0;2;0;0;1;0;9;8;1;0;0;0;4;0;0;1;0;0;0;9;0;0;2;5;0;3;0;0;0;0;0
328;k_kotenkova;Катерина Котенкова;0;0;0;0;0;0;26;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
504;o_popenko;Олег Попенко;1;0;1;0;0;11;8;2;0;0;5;0;1;0;0;0;1;2;7;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;5;0;0;0;0;0
163;t_mylovanov;Тимофій Милованов;0;0;1;1;3;0;0;1;0;0;0;3;0;0;0;0;1;2;2;1;0;1;1;1;2;3;1;0;1;0;3;2;2;0;1;0;2;2;1;2;0;2
105481;e_naiman;Ерік Найман;0;0;0;0;0;8;8;0;0;0;8;0;0;0;0;0;0;4;0;4;0;0;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
554;s_kuiun;Сергій Куюн;0;0;0;0;0;2;1;0;1;0;2;0;3;0;0;0;1;3;0;1;0;0;0;1;1;1;1;0;1;0;7;0;0;0;0;0;6;0;2;0;2;3
635;o_doroshenko;Олексій Дорошенко;0;0;1;0;0;5;0;0;0;0;0;0;2;0;0;0;1;12;3;0;0;0;0;0;0;0;0;0;1;0;6;0;0;0;2;0;2;0;0;0;0;0
980;s_zinchenko;Станіслав Зінченко;0;0;0;0;0;7;8;0;0;0;8;0;0;0;0;0;0;5;0;1;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
239;v_iosub;Вадим Іосуб;0;0;3;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;7;1;0;4;0;1;0;2;0;3;0;0;0;3;0;4;0;0;0
