category;Військова справа;Громадський сектор;Держслужба;Дипломатія;Економічна аналітика;Енергетика;Журналістика;Медицина;Медична аналітика;Політика;Політологія;Політтехнології;Промисловість;Фінансова аналітика;Юриспруденція
Політика;1;1;;;2;1;3;;;6;2;5;;;1
Коронавірус;;;1;;;;;6;2;;;;;;
Економіка;;1;;;9;2;1;;;;;2;1;4;
Інциденти;;;;;;;2;;;1;;;;;2
Закордонна політика;2;;;1;;;1;;;1;1;2;;;
