topic;112.ua;24 канал;Gazeta.ua;LB.ua;LIGA.net;Obozrevatel;Politeka;ZIK;ZN.UA;Zaxid.net;Znaj.ua;Інтерфакс-Україна;Апостроф;Бабель;Букви;Вголос;Вести;Главком;ГолосUA;Гордон;Громадське;Економічна правда;Еспресо ТВ;КП в Украине;Корреспондент.net;НВ;РБК-Україна;Радіо Свобода;Страна.ua;Суспільне;Сьогодні;ТСН;Телеграф;УНІАН;УНН;Українська правда;Українські новини;Укрінформ;Факти;Факти ICTV;Фокус;Цензор.НЕТ
Справа Юрія Зонтова – брата Павла Вовка;2.1;2.7;0.9;3.2;3.1;2.1;0.0;1.0;9.3;2.2;0.0;4.1;1.4;7.1;10.9;1.1;1.2;1.5;0.1;5.0;4.2;;2.2;0.9;1.7;1.4;2.4;9.4;0.5;0.4;0.7;0.2;0.2;1.5;4.7;4.4;2.0;1.6;2.7;0.3;0.9;0.5
Антитерористичні навчання СБУ, нацгвардії, нацполіції;0.6;0.8;0.6;1.4;4.4;0.0;0.8;2.0;0.0;1.2;0.2;1.9;1.2;1.2;0.0;0.0;2.8;1.2;0.2;1.0;1.2;;2.9;0.3;1.5;2.2;3.5;2.5;1.5;0.9;0.4;0.4;1.5;1.1;0.9;1.6;2.4;1.8;1.0;0.9;2.7;1.6
Порушення карантинних обмежень;2.1;0.6;0.7;1.8;5.7;1.3;0.9;0.5;0.7;1.9;0.2;0.7;0.7;1.2;0.0;0.0;1.4;1.1;0.6;0.7;0.6;;0.6;1.5;1.0;2.5;2.4;1.2;1.8;1.0;0.7;0.4;0.2;0.7;1.3;1.6;4.4;0.7;0.3;0.9;0.9;1.4
Справи учасників акції на підтримку Стерненка під ОПУ;0.3;0.8;0.7;2.5;0.6;0.5;0.0;1.0;2.0;1.2;0.0;0.7;0.7;2.4;7.9;0.0;1.2;0.8;0.1;2.0;4.2;;2.6;1.8;0.8;2.0;1.4;5.6;1.3;0.5;1.3;0.4;0.2;1.1;1.6;1.6;1.2;0.7;0.7;0.6;1.4;1.1
Викрадення судді Чауса;0.6;1.0;0.6;0.7;1.3;1.0;0.2;0.5;0.7;1.5;0.2;0.7;0.5;0.6;0.0;0.5;2.4;0.5;0.3;1.3;4.8;;0.6;0.9;0.5;3.1;1.7;1.9;2.4;0.2;0.7;0.5;1.5;0.0;0.2;2.0;3.2;0.4;0.7;0.0;1.4;1.3
"Стрілянина в поїзді ""Костянтинівка-Київ""";1.2;0.7;0.7;1.1;1.3;1.1;0.2;1.5;1.3;0.6;0.0;1.1;0.7;1.2;3.0;0.0;0.7;1.1;0.3;1.3;2.4;;0.3;1.5;0.7;1.7;2.4;1.2;1.5;0.3;0.2;0.2;0.7;0.7;0.7;1.6;0.8;1.3;0.7;0.9;0.9;0.9
Справа Стерненка;0.3;1.0;0.6;0.7;1.9;0.2;0.2;0.5;3.3;0.6;0.0;1.5;0.0;3.6;7.9;0.5;2.4;1.0;0.2;2.3;0.6;;2.2;0.9;0.2;1.4;0.0;1.9;1.8;0.4;0.4;0.0;0.5;0.7;0.9;0.8;0.4;0.9;0.3;0.3;1.4;1.1
"Справа ""ПВК Семенченка""";0.9;0.4;0.2;0.7;1.3;0.8;0.0;0.0;2.0;0.3;0.0;1.1;0.2;2.4;0.0;0.5;0.7;0.2;0.1;2.0;2.4;;1.3;1.5;0.0;2.0;0.3;1.9;0.9;0.1;0.2;0.2;0.5;0.7;0.4;0.8;0.8;1.1;0.0;0.0;0.0;2.0
