image_name;name;"Українська правда; позитивні";"Українська правда; нейтральні";"Українська правда; негативні";"Obozrevatel; позитивні";"Obozrevatel; нейтральні";"Obozrevatel; негативні";"Економічна правда; позитивні";"Економічна правда; нейтральні";"Економічна правда; негативні";"РБК-Україна; позитивні";"РБК-Україна; нейтральні";"РБК-Україна; негативні";"LIGA.net; позитивні";"LIGA.net; нейтральні";"LIGA.net; негативні";"Гордон; позитивні";"Гордон; нейтральні";"Гордон; негативні";"УНН; позитивні";"УНН; нейтральні";"УНН; негативні";"Радіо Свобода; позитивні";"Радіо Свобода; нейтральні";"Радіо Свобода; негативні";"ZIK; позитивні";"ZIK; нейтральні";"ZIK; негативні";"УНІАН; позитивні";"УНІАН; нейтральні";"УНІАН; негативні";"LB.ua; позитивні";"LB.ua; нейтральні";"LB.ua; негативні";"112.ua; позитивні";"112.ua; нейтральні";"112.ua; негативні";"Сьогодні; позитивні";"Сьогодні; нейтральні";"Сьогодні; негативні";"ТСН; позитивні";"ТСН; нейтральні";"ТСН; негативні";"Апостроф; позитивні";"Апостроф; нейтральні";"Апостроф; негативні";"Фокус; позитивні";"Фокус; нейтральні";"Фокус; негативні";"Українські новини; позитивні";"Українські новини; нейтральні";"Українські новини; негативні";"ZN.UA; позитивні";"ZN.UA; нейтральні";"ZN.UA; негативні";"Еспресо ТВ; позитивні";"Еспресо ТВ; нейтральні";"Еспресо ТВ; негативні";"Інтерфакс-Україна; позитивні";"Інтерфакс-Україна; нейтральні";"Інтерфакс-Україна; негативні";"Gazeta.ua; позитивні";"Gazeta.ua; нейтральні";"Gazeta.ua; негативні";"24 канал; позитивні";"24 канал; нейтральні";"24 канал; негативні";"Politeka; позитивні";"Politeka; нейтральні";"Politeka; негативні";"Вголос; позитивні";"Вголос; нейтральні";"Вголос; негативні";"Страна.ua; позитивні";"Страна.ua; нейтральні";"Страна.ua; негативні";"Znaj.ua; позитивні";"Znaj.ua; нейтральні";"Znaj.ua; негативні";"Громадське; позитивні";"Громадське; нейтральні";"Громадське; негативні";"Корреспондент.net; позитивні";"Корреспондент.net; нейтральні";"Корреспондент.net; негативні";"Главком; позитивні";"Главком; нейтральні";"Главком; негативні";"Укрінформ; позитивні";"Укрінформ; нейтральні";"Укрінформ; негативні";"Суспільне; позитивні";"Суспільне; нейтральні";"Суспільне; негативні";"Zaxid.net; позитивні";"Zaxid.net; нейтральні";"Zaxid.net; негативні";"Бабель; позитивні";"Бабель; нейтральні";"Бабель; негативні";"Букви; позитивні";"Букви; нейтральні";"Букви; негативні";"Вести; позитивні";"Вести; нейтральні";"Вести; негативні";"Телеграф; позитивні";"Телеграф; нейтральні";"Телеграф; негативні";"КП в Украине; позитивні";"КП в Украине; нейтральні";"КП в Украине; негативні";"ГолосUA; позитивні";"ГолосUA; нейтральні";"ГолосUA; негативні";"Факти; позитивні";"Факти; нейтральні";"Факти; негативні";"Факти ICTV; позитивні";"Факти ICTV; нейтральні";"Факти ICTV; негативні";"НВ; позитивні";"НВ; нейтральні";"НВ; негативні";"Цензор.НЕТ; позитивні";"Цензор.НЕТ; нейтральні";"Цензор.НЕТ; негативні"
v_zelenskyi;Володимир Зеленський;8;13;18;3;8;22;0;0;1;6;29;28;12;16;47;2;11;33;8;25;22;3;12;23;2;9;23;6;6;57;6;16;12;6;14;25;9;12;35;5;8;21;6;15;16;14;17;20;13;17;18;5;8;59;2;12;17;14;19;8;5;15;24;9;18;81;2;2;5;1;7;5;20;41;40;1;3;2;7;11;44;4;31;31;37;16;91;9;15;17;2;5;6;0;1;21;2;8;8;0;5;18;46;34;54;10;26;33;17;12;31;27;20;25;1;5;14;5;11;19;21;27;117;39;70;74
d_kuleba;Дмитро Кулеба;1;9;15;0;1;15;0;1;0;2;11;36;6;12;37;1;1;5;2;10;33;2;4;20;0;1;3;4;2;21;2;5;8;0;3;10;1;0;19;0;6;19;0;2;6;1;2;8;10;6;11;2;5;27;2;0;10;3;10;21;0;4;3;4;11;39;0;0;0;0;1;5;5;12;8;0;0;0;1;1;4;2;11;24;13;10;28;3;4;34;0;1;5;0;0;2;1;1;7;0;2;1;10;15;19;0;2;3;4;5;9;2;6;6;0;0;3;3;2;15;11;13;39;24;28;30
o_nikolenko;Олег Ніколенко;1;0;4;0;1;3;0;0;0;0;0;5;1;0;1;0;0;3;1;0;10;0;1;4;0;0;2;0;0;3;0;1;3;1;0;5;0;0;3;0;0;0;0;0;3;1;0;1;0;1;2;0;0;7;0;0;3;1;0;5;0;1;2;0;0;5;0;0;0;0;0;0;0;1;1;0;0;0;0;0;4;0;1;3;1;1;10;0;0;7;0;0;2;0;0;5;0;0;3;0;0;2;0;2;1;0;0;1;0;0;5;1;1;2;0;0;1;0;0;3;0;1;3;2;5;3
a_yermak;Андрій Єрмак;1;1;0;0;2;2;0;0;0;0;2;1;1;0;5;0;0;3;0;0;2;0;0;1;1;0;2;0;0;1;0;1;2;0;0;2;0;0;1;0;0;2;0;1;6;0;0;2;0;3;0;0;0;4;0;1;0;2;1;0;0;0;3;0;3;7;0;0;0;0;0;0;0;5;2;0;0;0;0;1;2;0;0;3;1;0;3;0;0;1;0;0;0;0;0;1;0;1;1;0;1;2;5;2;2;1;5;2;1;0;1;1;3;0;0;0;0;0;0;1;1;0;10;1;2;4
p_poroshenko;Петро Порошенко;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;1;3;0;1;0;0;1;0;0;2;0;0;0;0;0;0;2;0;2;0;0;1;0;0;0;0;0;1;2;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;3;2;4;1;2;1;0;0;0;0;5;1;0;1;0;0;1;0;0;0;0;1;3;3;1;2
l_kravchuk;Леонід Кравчук;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;2;5;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;1;1;0;0;2;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;5;0;1;0;0;1;2;0;0;0;0;1;1;0;0;0;2;1;8;0;1;7
v_medvedchuk;Віктор Медведчук;0;0;1;0;0;2;0;0;0;0;0;1;0;0;1;0;0;3;0;0;1;0;0;1;2;2;8;0;1;2;0;0;0;3;2;3;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2;0;4;1;0;1;0;0;0;2;1;1;0;0;1;0;0;0;0;0;2;0;0;0
o_danilov;Олексій Данілов;0;0;1;0;0;1;0;0;0;0;1;2;0;2;1;0;0;1;0;0;2;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;2;0;0;1;0;0;4;0;2;1;0;1;2;0;0;0;0;0;5;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;4;0;0;6;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;1;2;2;0;1
o_reznikov;Олексій Резніков;0;0;1;0;0;1;0;0;0;0;0;1;0;0;3;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;1;1;0;2;0;0;0;0;0;4;1;1;6;0;1;4
o_arestovych;Олексій Арестович;0;0;0;0;0;5;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;1;0;0;0;0;0;3;0;1;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;2;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;2;1;2;1;2;2
