,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,category,category,category,category,category,category,category,category,category,category,category,category,category,category,category,num,del_flag
,112.ua,24tv.ua,apostrophe.ua,babel.ua,bykvu.com,espreso.tv,fakty.com.ua,fakty.ua,focus.ua,gazeta.ua,glavcom.ua,golos.ua,gordonua.com,https://censor.net.ua,https://dt.ua/,https://hromadske.ua/,https://politeka.net/uk,https://ua.interfax.com.ua,https://ua.korrespondent.net/,https://ukr.lb.ua,https://ukranews.com,https://www.epravda.com.ua,https://www.liga.net,https://www.obozrevatel.com,https://www.pravda.com.ua,https://www.rbc.ua,https://www.segodnya.ua/ua,https://www.unian.ua,kp.ua,nv.ua,strana.ua,suspilne.media,telegraf.com.ua,tsn.ua,ukrinform.ua,vesti.ua,vgolos.com.ua,www.radiosvoboda.org,www.unn.com.ua,zaxid.net,zik.ua,znaj.ua,Інциденти,Інше,Війна/Донбас,Економіка,Життя/lifestyle,Карантин,Коронавірус,Міжнародна політика,Погода,Політика,Світ,Спорт,Суспільство,Технології,Шоу-бізнес,,
Арсен Жумаділ,2.0,9.0,3.0,2.0,6.0,2.0,2.0,0.0,0.0,3.0,4.0,0.0,6.0,0.0,5.0,4.0,0.0,3.0,3.0,6.0,0.0,0.0,2.0,1.0,3.0,3.0,1.0,2.0,0.0,2.0,0.0,3.0,1.0,0.0,1.0,0.0,2.0,5.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,67.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,91.0,False
Кір Ярмиш,0.0,7.0,2.0,1.0,1.0,4.0,2.0,3.0,3.0,4.0,2.0,4.0,8.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,3.0,3.0,3.0,2.0,4.0,2.0,1.0,3.0,2.0,1.0,0.0,3.0,2.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,88.0,False
Олег Устенк,2.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,3.0,2.0,5.0,2.0,3.0,1.0,0.0,2.0,8.0,2.0,0.0,3.0,0.0,1.0,0.0,4.0,3.0,3.0,4.0,2.0,5.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,82.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,87.0,False
Андр Портн,0.0,7.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,1.0,3.0,5.0,3.0,5.0,2.0,2.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,6.0,11.0,1.0,1.0,0.0,0.0,11.0,1.0,2.0,0.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,35.0,0.0,0.0,36.0,0.0,0.0,86.0,False
Борис Кушнірук,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,8.0,0.0,9.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,83.0,False
Леонід Горбан,0.0,2.0,17.0,0.0,0.0,1.0,0.0,7.0,0.0,11.0,4.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,False
Серг Лещенк,0.0,9.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,11.0,0.0,3.0,8.0,7.0,2.0,1.0,5.0,1.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,1.0,2.0,3.0,3.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,65.0,2.0,0.0,4.0,0.0,1.0,81.0,False
Павл Фукс,0.0,2.0,1.0,3.0,0.0,1.0,0.0,3.0,4.0,1.0,0.0,0.0,13.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,1.0,2.0,0.0,12.0,2.0,1.0,2.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,7.0,0.0,0.0,7.0,3.0,0.0,50.0,3.0,0.0,2.0,0.0,3.0,80.0,False
Денис Казанськ,0.0,10.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,8.0,12.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,9.0,0.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,3.0,0.0,59.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,3.0,1.0,3.0,0.0,0.0,79.0,False
Павел Глоб,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,False
