,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,category,category,category,category,category,category,category,category,category,category,category,category,category,category,category,num,del_flag
,112.ua,24tv.ua,apostrophe.ua,babel.ua,bykvu.com,espreso.tv,fakty.com.ua,fakty.ua,focus.ua,gazeta.ua,glavcom.ua,golos.ua,gordonua.com,https://censor.net.ua,https://dt.ua/,https://hromadske.ua/,https://politeka.net/uk,https://ua.interfax.com.ua,https://ua.korrespondent.net/,https://ukr.lb.ua,https://ukranews.com,https://www.epravda.com.ua,https://www.liga.net,https://www.obozrevatel.com,https://www.pravda.com.ua,https://www.rbc.ua,https://www.segodnya.ua/ua,https://www.unian.ua,kp.ua,nv.ua,strana.ua,suspilne.media,telegraf.com.ua,tsn.ua,ukrinform.ua,vesti.ua,vgolos.com.ua,www.radiosvoboda.org,www.unn.com.ua,zaxid.net,zik.ua,znaj.ua,Інциденти,Інше,Війна/Донбас,Економіка,Життя/lifestyle,Карантин,Коронавірус,Міжнародна політика,Погода,Політика,Світ,Спорт,Суспільство,Технології,Шоу-бізнес,,
Олег Пендзин,0.0,1.0,3.0,0.0,0.0,3.0,5.0,0.0,1.0,1.0,6.0,40.0,1.0,3.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,12.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,4.0,0.0,2.0,8.0,0.0,0.0,0.0,104.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,1.0,1.0,116.0,False
Серг Лещенк,2.0,13.0,3.0,3.0,1.0,0.0,1.0,1.0,4.0,2.0,6.0,4.0,4.0,11.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,4.0,2.0,0.0,3.0,3.0,1.0,5.0,3.0,0.0,4.0,1.0,1.0,3.0,2.0,1.0,2.0,0.0,1.0,1.0,24.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,1.0,0.0,0.0,109.0,False
Вітал Боговін,10.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,0.0,3.0,0.0,1.0,2.0,1.0,5.0,4.0,0.0,5.0,4.0,2.0,4.0,2.0,0.0,2.0,2.0,3.0,7.0,0.0,1.0,7.0,2.0,1.0,5.0,3.0,1.0,14.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,109.0,False
Епіфан,2.0,12.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,3.0,9.0,0.0,6.0,0.0,3.0,1.0,0.0,4.0,3.0,2.0,0.0,0.0,1.0,12.0,3.0,4.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,2.0,7.0,0.0,2.0,7.0,7.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,7.0,1.0,1.0,2.0,0.0,17.0,0.0,0.0,72.0,0.0,1.0,107.0,False
Костянтин Кудрявцев,1.0,2.0,0.0,3.0,0.0,3.0,0.0,2.0,4.0,3.0,5.0,0.0,8.0,9.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,2.0,0.0,4.0,11.0,2.0,10.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,10.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,0.0,1.0,78.0,0.0,0.0,0.0,0.0,107.0,False
Володимир Гройсман,2.0,2.0,4.0,1.0,0.0,6.0,7.0,0.0,0.0,3.0,7.0,0.0,15.0,1.0,7.0,1.0,0.0,8.0,1.0,2.0,0.0,1.0,1.0,14.0,3.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,23.0,1.0,0.0,20.0,1.0,0.0,8.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,107.0,False
Олег Бахматюк,3.0,6.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,5.0,5.0,0.0,0.0,4.0,0.0,0.0,8.0,7.0,0.0,8.0,1.0,8.0,1.0,5.0,8.0,3.0,5.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,3.0,0.0,0.0,106.0,False
Серг Гармаш,1.0,6.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,3.0,1.0,1.0,5.0,7.0,9.0,0.0,1.0,1.0,2.0,6.0,0.0,0.0,1.0,11.0,1.0,6.0,3.0,3.0,1.0,5.0,0.0,1.0,6.0,0.0,2.0,7.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,89.0,0.0,0.0,0.0,1.0,3.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,103.0,False
Серг Доротич,1.0,2.0,3.0,1.0,1.0,3.0,0.0,7.0,7.0,3.0,3.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,4.0,4.0,3.0,0.0,24.0,1.0,2.0,1.0,0.0,11.0,0.0,0.0,2.0,0.0,4.0,0.0,10.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,1.0,28.0,0.0,1.0,103.0,False
Леонід Горбан,0.0,2.0,20.0,0.0,0.0,0.0,2.0,4.0,1.0,8.0,2.0,4.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,8.0,0.0,0.0,18.0,0.0,2.0,3.0,0.0,4.0,1.0,1.0,0.0,5.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,95.0,2.0,1.0,0.0,0.0,0.0,1.0,102.0,False
Тимоф Милован,1.0,9.0,1.0,0.0,0.0,2.0,3.0,0.0,4.0,7.0,8.0,1.0,2.0,5.0,0.0,0.0,2.0,0.0,3.0,1.0,4.0,0.0,6.0,1.0,0.0,0.0,5.0,3.0,5.0,11.0,2.0,1.0,1.0,4.0,2.0,1.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,64.0,0.0,6.0,0.0,0.0,0.0,24.0,0.0,0.0,3.0,1.0,3.0,102.0,False
Борис Кушнірук,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,15.0,0.0,5.0,5.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,3.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,100.0,False
Дмитр Сологуб,0.0,10.0,0.0,4.0,1.0,2.0,1.0,0.0,3.0,2.0,1.0,4.0,6.0,1.0,5.0,2.0,0.0,5.0,0.0,2.0,1.0,4.0,11.0,1.0,0.0,6.0,0.0,6.0,1.0,6.0,1.0,0.0,1.0,0.0,4.0,2.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,79.0,0.0,3.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,100.0,False
Віктор Петр,6.0,4.0,4.0,0.0,0.0,1.0,1.0,2.0,1.0,7.0,5.0,3.0,10.0,3.0,0.0,0.0,6.0,0.0,7.0,0.0,1.0,0.0,0.0,8.0,0.0,1.0,0.0,6.0,4.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,89.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,99.0,False
Костянтин Павл,7.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,3.0,0.0,1.0,3.0,0.0,2.0,1.0,3.0,1.0,8.0,8.0,2.0,2.0,1.0,10.0,10.0,1.0,0.0,0.0,2.0,8.0,1.0,5.0,1.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,75.0,0.0,0.0,8.0,0.0,0.0,96.0,False
Галин Янченк,1.0,10.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,3.0,7.0,1.0,4.0,17.0,2.0,2.0,0.0,3.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,2.0,0.0,3.0,1.0,0.0,3.0,0.0,7.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,84.0,0.0,0.0,2.0,0.0,0.0,94.0,False
Віктор Назар,2.0,11.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,4.0,0.0,4.0,9.0,2.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,5.0,0.0,4.0,1.0,2.0,2.0,2.0,3.0,3.0,0.0,7.0,2.0,2.0,0.0,3.0,0.0,2.0,0.0,4.0,37.0,0.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,21.0,3.0,0.0,0.0,0.0,8.0,91.0,False
Михайл Волинец,5.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,10.0,0.0,1.0,0.0,6.0,0.0,2.0,5.0,11.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,11.0,0.0,1.0,2.0,4.0,2.0,3.0,3.0,51.0,0.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,88.0,False
Олес Бацман,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,26.0,10.0,7.0,0.0,22.0,13.0,0.0,0.0,1.0,0.0,86.0,False
Русла Бортник,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,5.0,4.0,0.0,0.0,5.0,14.0,0.0,1.0,1.0,4.0,0.0,46.0,5.0,0.0,5.0,0.0,0.0,81.0,False
Андр Костін,1.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,7.0,6.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,9.0,1.0,2.0,0.0,5.0,1.0,0.0,0.0,8.0,3.0,2.0,0.0,1.0,2.0,0.0,6.0,1.0,0.0,0.0,36.0,2.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,80.0,False
Олександр Шумк,2.0,0.0,1.0,2.0,0.0,5.0,1.0,0.0,1.0,3.0,5.0,0.0,3.0,6.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,3.0,2.0,1.0,3.0,2.0,3.0,1.0,3.0,1.0,4.0,1.0,0.0,7.0,1.0,0.0,1.0,5.0,1.0,1.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,7.0,0.0,53.0,0.0,0.0,80.0,False
Серг Бессараб,1.0,5.0,0.0,1.0,3.0,1.0,0.0,1.0,3.0,0.0,2.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,4.0,1.0,2.0,3.0,3.0,1.0,9.0,3.0,2.0,0.0,0.0,9.0,3.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,76.0,False
Серг Дрозд,0.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,4.0,3.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,6.0,2.0,1.0,2.0,3.0,4.0,2.0,4.0,0.0,1.0,2.0,2.0,4.0,0.0,1.0,3.0,1.0,2.0,0.0,49.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,14.0,1.0,0.0,1.0,0.0,0.0,75.0,False
Ігор Добруцьк,3.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,5.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,6.0,5.0,9.0,1.0,2.0,1.0,5.0,2.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,34.0,0.0,14.0,74.0,False
Оксан Гайсинськ,1.0,7.0,3.0,0.0,1.0,1.0,3.0,0.0,6.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,12.0,3.0,1.0,1.0,4.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,60.0,1.0,0.0,4.0,0.0,5.0,72.0,False
Андр Павелк,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,0.0,1.0,7.0,1.0,0.0,4.0,0.0,0.0,1.0,27.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,58.0,0.0,0.0,0.0,72.0,False
Офис Генпрокурор,2.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,72.0,False
Андр Шевчишин,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,11.0,0.0,23.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,False
Міхал Дворчик,0.0,3.0,0.0,2.0,1.0,3.0,3.0,0.0,2.0,5.0,4.0,1.0,4.0,4.0,2.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,3.0,1.0,1.0,1.0,4.0,0.0,2.0,0.0,6.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,58.0,1.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,71.0,False
Родіон Гайсинськ,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,8.0,1.0,1.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,7.0,1.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,5.0,0.0,3.0,69.0,False
Юл Ковал,1.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,4.0,2.0,1.0,0.0,3.0,2.0,4.0,1.0,1.0,3.0,0.0,2.0,0.0,1.0,3.0,4.0,5.0,2.0,4.0,0.0,0.0,2.0,4.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,26.0,0.0,0.0,1.0,0.0,0.0,39.0,0.0,0.0,2.0,0.0,0.0,69.0,False
Ігор Сапожк,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,3.0,3.0,2.0,3.0,0.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,5.0,2.0,1.0,1.0,0.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,54.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,68.0,False
Серг Рахманін,1.0,3.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,4.0,3.0,0.0,6.0,5.0,4.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,68.0,False
Олекс Гончарук,0.0,6.0,0.0,0.0,3.0,1.0,1.0,0.0,3.0,1.0,4.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,1.0,1.0,4.0,5.0,0.0,2.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,3.0,2.0,2.0,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.0,48.0,0.0,0.0,2.0,0.0,0.0,65.0,False
Богдан Данилишин,0.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,4.0,1.0,2.0,0.0,6.0,0.0,3.0,5.0,4.0,0.0,1.0,1.0,5.0,1.0,0.0,5.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,65.0,False
Тарас Жиравецьк,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,False
Мус Магомед,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,5.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,5.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,63.0,False
Олег Сенц,0.0,9.0,0.0,1.0,0.0,2.0,0.0,6.0,3.0,2.0,2.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,6.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,2.0,0.0,22.0,0.0,10.0,62.0,False
Іон Кік,2.0,2.0,0.0,2.0,1.0,5.0,1.0,1.0,0.0,1.0,7.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,1.0,5.0,2.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,36.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,61.0,False
