,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,category,category,category,category,category,category,category,category,category,category,category,category,category,category,category,num,del_flag
,112.ua,24tv.ua,apostrophe.ua,babel.ua,bykvu.com,espreso.tv,fakty.com.ua,fakty.ua,focus.ua,gazeta.ua,glavcom.ua,golos.ua,gordonua.com,https://censor.net.ua,https://dt.ua/,https://hromadske.ua/,https://politeka.net/uk,https://ua.interfax.com.ua,https://ua.korrespondent.net/,https://ukr.lb.ua,https://ukranews.com,https://www.epravda.com.ua,https://www.liga.net,https://www.obozrevatel.com,https://www.pravda.com.ua,https://www.rbc.ua,https://www.segodnya.ua/ua,https://www.unian.ua,kp.ua,nv.ua,strana.ua,suspilne.media,telegraf.com.ua,tsn.ua,ukrinform.ua,vesti.ua,vgolos.com.ua,www.radiosvoboda.org,www.unn.com.ua,zaxid.net,zik.ua,znaj.ua,Інциденти,Інше,Війна/Донбас,Економіка,Життя/lifestyle,Карантин,Коронавірус,Міжнародна політика,Погода,Політика,Світ,Спорт,Суспільство,Технології,Шоу-бізнес,,
Володимир Яценк,1.0,4.0,1.0,4.0,3.0,3.0,0.0,1.0,4.0,3.0,10.0,1.0,8.0,6.0,3.0,2.0,0.0,2.0,3.0,1.0,4.0,1.0,1.0,5.0,2.0,4.0,1.0,0.0,2.0,14.0,8.0,1.0,7.0,0.0,1.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,63.0,1.0,0.0,23.0,0.0,0.0,1.0,1.0,1.0,28.0,0.0,0.0,0.0,0.0,1.0,119.0,False
Андр Портн,4.0,7.0,1.0,2.0,1.0,10.0,0.0,0.0,2.0,3.0,6.0,1.0,2.0,10.0,2.0,2.0,1.0,1.0,1.0,0.0,6.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,5.0,17.0,1.0,1.0,2.0,1.0,15.0,1.0,2.0,0.0,1.0,3.0,1.0,32.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,74.0,1.0,0.0,5.0,0.0,0.0,117.0,False
Євген Комаровськ,0.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,11.0,11.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,1.0,15.0,0.0,14.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,17.0,0.0,1.0,0.0,0.0,64.0,1.0,40.0,0.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,115.0,False
Дмитр Гордон,0.0,2.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,2.0,1.0,1.0,55.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,0.0,4.0,2.0,2.0,2.0,2.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,29.0,5.0,4.0,11.0,0.0,35.0,115.0,False
Серг Гармаш,5.0,9.0,0.0,1.0,0.0,1.0,0.0,3.0,4.0,2.0,0.0,0.0,10.0,6.0,5.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,5.0,15.0,1.0,7.0,2.0,1.0,1.0,4.0,2.0,1.0,11.0,0.0,4.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,114.0,False
Тимоф Милован,0.0,9.0,2.0,0.0,2.0,2.0,3.0,0.0,1.0,2.0,14.0,4.0,5.0,8.0,3.0,3.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,5.0,1.0,3.0,9.0,3.0,0.0,3.0,1.0,2.0,10.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,1.0,0.0,35.0,1.0,0.0,0.0,0.0,0.0,110.0,False
Васил Вірастюк,2.0,6.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,4.0,0.0,3.0,2.0,2.0,1.0,0.0,3.0,2.0,1.0,3.0,0.0,2.0,5.0,4.0,3.0,3.0,5.0,3.0,5.0,4.0,1.0,2.0,0.0,3.0,4.0,0.0,3.0,2.0,2.0,2.0,14.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,93.0,1.0,2.0,1.0,0.0,5.0,110.0,False
Олег Пендзин,1.0,3.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,16.0,19.0,1.0,4.0,1.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,2.0,13.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,7.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,False
Стерненк,1.0,6.0,0.0,2.0,0.0,3.0,0.0,4.0,2.0,2.0,4.0,1.0,1.0,7.0,0.0,2.0,2.0,4.0,1.0,1.0,3.0,0.0,2.0,2.0,1.0,2.0,1.0,6.0,0.0,2.0,8.0,1.0,2.0,5.0,8.0,4.0,1.0,0.0,10.0,1.0,2.0,0.0,70.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,20.0,2.0,0.0,7.0,0.0,2.0,104.0,False
Мас Най,0.0,9.0,0.0,3.0,2.0,7.0,0.0,2.0,6.0,9.0,3.0,0.0,6.0,6.0,3.0,3.0,0.0,2.0,1.0,1.0,2.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,10.0,2.0,2.0,2.0,4.0,3.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,1.0,0.0,0.0,103.0,False
Ольг Голубовськ,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,3.0,5.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,18.0,0.0,9.0,3.0,4.0,3.0,3.0,3.0,0.0,6.0,2.0,0.0,4.0,1.0,0.0,15.0,0.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0,1.0,77.0,0.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,100.0,False
Русла Бизя,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,1.0,0.0,1.0,24.0,0.0,0.0,4.0,14.0,0.0,34.0,3.0,0.0,13.0,3.0,0.0,97.0,False
Денис Казанськ,0.0,10.0,2.0,1.0,0.0,2.0,0.0,3.0,1.0,1.0,26.0,0.0,4.0,7.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,5.0,9.0,0.0,0.0,1.0,2.0,0.0,5.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,31.0,1.0,42.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,2.0,0.0,0.0,96.0,False
Рамзан Кадиров,2.0,7.0,0.0,2.0,0.0,1.0,3.0,1.0,3.0,1.0,4.0,0.0,6.0,2.0,0.0,2.0,0.0,1.0,4.0,1.0,1.0,0.0,2.0,7.0,5.0,3.0,2.0,0.0,2.0,3.0,5.0,1.0,1.0,0.0,1.0,6.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,5.0,6.0,2.0,0.0,0.0,0.0,13.0,0.0,53.0,5.0,0.0,1.0,0.0,2.0,87.0,False
